Precision,Recall,Threshold,Model
0.1608,1.0,0.0001,LogisticRegression
0.1613,1.0,0.0002,LogisticRegression
0.1618,1.0,0.0002,LogisticRegression
0.1624,1.0,0.0003,LogisticRegression
0.1629,1.0,0.0003,LogisticRegression
0.1634,1.0,0.0004,LogisticRegression
0.1639,1.0,0.0004,LogisticRegression
0.1645,1.0,0.0004,LogisticRegression
0.165,1.0,0.0004,LogisticRegression
0.1656,1.0,0.0005,LogisticRegression
0.1661,1.0,0.0005,LogisticRegression
0.1667,1.0,0.0005,LogisticRegression
0.1672,1.0,0.0006,LogisticRegression
0.1678,1.0,0.0006,LogisticRegression
0.1683,1.0,0.0007,LogisticRegression
0.1689,1.0,0.0008,LogisticRegression
0.1695,1.0,0.0008,LogisticRegression
0.1701,1.0,0.0009,LogisticRegression
0.1706,1.0,0.0009,LogisticRegression
0.1712,1.0,0.0009,LogisticRegression
0.1718,1.0,0.001,LogisticRegression
0.1724,1.0,0.001,LogisticRegression
0.173,1.0,0.0011,LogisticRegression
0.1736,1.0,0.0011,LogisticRegression
0.1742,1.0,0.0012,LogisticRegression
0.1748,1.0,0.0012,LogisticRegression
0.1754,1.0,0.0012,LogisticRegression
0.176,1.0,0.0013,LogisticRegression
0.1766,1.0,0.0013,LogisticRegression
0.1772,1.0,0.0013,LogisticRegression
0.1779,1.0,0.0014,LogisticRegression
0.1785,1.0,0.0014,LogisticRegression
0.1791,1.0,0.0015,LogisticRegression
0.1798,1.0,0.0015,LogisticRegression
0.1804,1.0,0.0016,LogisticRegression
0.1811,1.0,0.0016,LogisticRegression
0.1817,1.0,0.0016,LogisticRegression
0.1824,1.0,0.0017,LogisticRegression
0.1831,1.0,0.0017,LogisticRegression
0.1837,1.0,0.0018,LogisticRegression
0.1844,1.0,0.0018,LogisticRegression
0.1851,1.0,0.0019,LogisticRegression
0.1858,1.0,0.0019,LogisticRegression
0.1855,0.995,0.002,LogisticRegression
0.1862,0.995,0.002,LogisticRegression
0.1869,0.995,0.0021,LogisticRegression
0.1876,0.995,0.0021,LogisticRegression
0.1883,0.995,0.0021,LogisticRegression
0.189,0.995,0.0022,LogisticRegression
0.1898,0.995,0.0022,LogisticRegression
0.1905,0.995,0.0023,LogisticRegression
0.1912,0.995,0.0023,LogisticRegression
0.1919,0.995,0.0023,LogisticRegression
0.1927,0.995,0.0024,LogisticRegression
0.1934,0.995,0.0024,LogisticRegression
0.1932,0.99,0.0025,LogisticRegression
0.194,0.99,0.0026,LogisticRegression
0.1947,0.99,0.0026,LogisticRegression
0.1955,0.99,0.0026,LogisticRegression
0.1963,0.99,0.0027,LogisticRegression
0.197,0.99,0.0028,LogisticRegression
0.1978,0.99,0.0028,LogisticRegression
0.1986,0.99,0.003,LogisticRegression
0.1994,0.99,0.003,LogisticRegression
0.2002,0.99,0.0031,LogisticRegression
0.201,0.99,0.0032,LogisticRegression
0.2008,0.9851,0.0032,LogisticRegression
0.2006,0.9801,0.0033,LogisticRegression
0.2014,0.9801,0.0035,LogisticRegression
0.2012,0.9751,0.0036,LogisticRegression
0.2021,0.9751,0.0036,LogisticRegression
0.2029,0.9751,0.0037,LogisticRegression
0.2037,0.9751,0.0038,LogisticRegression
0.2046,0.9751,0.0039,LogisticRegression
0.2055,0.9751,0.004,LogisticRegression
0.2063,0.9751,0.0042,LogisticRegression
0.2072,0.9751,0.0042,LogisticRegression
0.2081,0.9751,0.0044,LogisticRegression
0.209,0.9751,0.0044,LogisticRegression
0.2099,0.9751,0.0045,LogisticRegression
0.2108,0.9751,0.0045,LogisticRegression
0.2106,0.9701,0.0046,LogisticRegression
0.2104,0.9652,0.0047,LogisticRegression
0.2113,0.9652,0.005,LogisticRegression
0.2112,0.9602,0.0051,LogisticRegression
0.2121,0.9602,0.0052,LogisticRegression
0.2119,0.9552,0.0053,LogisticRegression
0.2129,0.9552,0.0054,LogisticRegression
0.2138,0.9552,0.0056,LogisticRegression
0.2125,0.9453,0.0056,LogisticRegression
0.2124,0.9403,0.0059,LogisticRegression
0.2133,0.9403,0.0061,LogisticRegression
0.2143,0.9403,0.0067,LogisticRegression
0.2153,0.9403,0.0069,LogisticRegression
0.2162,0.9403,0.0075,LogisticRegression
0.2172,0.9403,0.0077,LogisticRegression
0.2171,0.9353,0.008,LogisticRegression
0.2181,0.9353,0.0082,LogisticRegression
0.2179,0.9303,0.0088,LogisticRegression
0.219,0.9303,0.0094,LogisticRegression
0.22,0.9303,0.0097,LogisticRegression
0.221,0.9303,0.01,LogisticRegression
0.2221,0.9303,0.0107,LogisticRegression
0.2232,0.9303,0.0112,LogisticRegression
0.2242,0.9303,0.0124,LogisticRegression
0.2253,0.9303,0.0135,LogisticRegression
0.2264,0.9303,0.0145,LogisticRegression
0.2275,0.9303,0.0172,LogisticRegression
0.2262,0.9204,0.0207,LogisticRegression
0.2273,0.9204,0.0259,LogisticRegression
0.2284,0.9204,0.0321,LogisticRegression
0.2295,0.9204,0.0358,LogisticRegression
0.2307,0.9204,0.0385,LogisticRegression
0.2321,0.9204,0.0457,LogisticRegression
0.2333,0.9204,0.0569,LogisticRegression
0.2345,0.9204,0.0697,LogisticRegression
0.2363,0.9204,0.0776,LogisticRegression
0.2412,0.9204,0.0846,LogisticRegression
0.251,0.9204,0.0907,LogisticRegression
0.2624,0.9204,0.095,LogisticRegression
0.2782,0.9204,0.0988,LogisticRegression
0.3114,0.9204,0.1035,LogisticRegression
0.3286,0.9204,0.1049,LogisticRegression
0.3382,0.9204,0.1078,LogisticRegression
0.3895,0.9204,0.1116,LogisticRegression
0.4374,0.9204,0.1172,LogisticRegression
0.4557,0.9204,0.1213,LogisticRegression
0.5027,0.9204,0.1275,LogisticRegression
0.5378,0.9204,0.1304,LogisticRegression
0.5441,0.9204,0.1383,LogisticRegression
0.5506,0.9204,0.1446,LogisticRegression
0.5572,0.9204,0.1569,LogisticRegression
0.564,0.9204,0.166,LogisticRegression
0.571,0.9204,0.1737,LogisticRegression
0.5781,0.9204,0.1896,LogisticRegression
0.5854,0.9204,0.198,LogisticRegression
0.5929,0.9204,0.2088,LogisticRegression
0.6006,0.9204,0.2165,LogisticRegression
0.6086,0.9204,0.2315,LogisticRegression
0.6167,0.9204,0.2438,LogisticRegression
0.625,0.9204,0.2528,LogisticRegression
0.6336,0.9204,0.2605,LogisticRegression
0.6424,0.9204,0.2677,LogisticRegression
0.6514,0.9204,0.3006,LogisticRegression
0.6607,0.9204,0.3046,LogisticRegression
0.6703,0.9204,0.3147,LogisticRegression
0.6801,0.9204,0.3297,LogisticRegression
0.6903,0.9204,0.3398,LogisticRegression
0.7008,0.9204,0.3479,LogisticRegression
0.7115,0.9204,0.3568,LogisticRegression
0.7227,0.9204,0.362,LogisticRegression
0.7341,0.9204,0.3801,LogisticRegression
0.746,0.9204,0.4055,LogisticRegression
0.7582,0.9204,0.4453,LogisticRegression
0.7708,0.9204,0.453,LogisticRegression
0.7839,0.9204,0.466,LogisticRegression
0.7931,0.9154,0.4815,LogisticRegression
0.807,0.9154,0.5095,LogisticRegression
0.817,0.9104,0.5174,LogisticRegression
0.8273,0.9055,0.5273,LogisticRegression
0.838,0.9005,0.5367,LogisticRegression
0.8491,0.8955,0.5531,LogisticRegression
0.8654,0.8955,0.59,LogisticRegression
0.8824,0.8955,0.6001,LogisticRegression
0.9,0.8955,0.6264,LogisticRegression
0.9184,0.8955,0.6476,LogisticRegression
0.9323,0.8905,0.6785,LogisticRegression
0.9521,0.8905,0.7193,LogisticRegression
0.962,0.8806,0.7545,LogisticRegression
0.9778,0.8756,0.8366,LogisticRegression
1.0,0.8756,0.9463,LogisticRegression
1.0,0.8557,0.947,LogisticRegression
1.0,0.8358,0.9488,LogisticRegression
1.0,0.8159,0.9509,LogisticRegression
1.0,0.796,0.9521,LogisticRegression
1.0,0.7761,0.9531,LogisticRegression
1.0,0.7562,0.9535,LogisticRegression
1.0,0.7363,0.9539,LogisticRegression
1.0,0.7164,0.9542,LogisticRegression
1.0,0.6965,0.9543,LogisticRegression
1.0,0.6766,0.9549,LogisticRegression
1.0,0.6567,0.956,LogisticRegression
1.0,0.6368,0.9564,LogisticRegression
1.0,0.6169,0.9565,LogisticRegression
1.0,0.597,0.9571,LogisticRegression
1.0,0.5771,0.9577,LogisticRegression
1.0,0.5572,0.9582,LogisticRegression
1.0,0.5373,0.9586,LogisticRegression
1.0,0.5174,0.9588,LogisticRegression
1.0,0.4975,0.9594,LogisticRegression
1.0,0.4776,0.9597,LogisticRegression
1.0,0.4577,0.9603,LogisticRegression
1.0,0.4378,0.9603,LogisticRegression
1.0,0.4179,0.9605,LogisticRegression
1.0,0.398,0.9606,LogisticRegression
1.0,0.3781,0.9609,LogisticRegression
1.0,0.3582,0.9611,LogisticRegression
1.0,0.3383,0.9613,LogisticRegression
1.0,0.3184,0.9614,LogisticRegression
1.0,0.2985,0.9618,LogisticRegression
1.0,0.2786,0.9622,LogisticRegression
1.0,0.2587,0.9626,LogisticRegression
1.0,0.2388,0.963,LogisticRegression
1.0,0.2189,0.9633,LogisticRegression
1.0,0.199,0.964,LogisticRegression
1.0,0.1791,0.9647,LogisticRegression
1.0,0.1592,0.9649,LogisticRegression
1.0,0.1393,0.9653,LogisticRegression
1.0,0.1194,0.9658,LogisticRegression
1.0,0.0995,0.9669,LogisticRegression
1.0,0.0796,0.9672,LogisticRegression
1.0,0.0597,0.9683,LogisticRegression
1.0,0.0398,0.9692,LogisticRegression
1.0,0.0199,0.9702,LogisticRegression
0.1608,1.0,0.0,RandomForest
0.3648,0.9801,0.005,RandomForest
0.4105,0.9701,0.01,RandomForest
0.4493,0.9701,0.015,RandomForest
0.4861,0.9602,0.02,RandomForest
0.5106,0.9552,0.025,RandomForest
0.5408,0.9552,0.03,RandomForest
0.5664,0.9552,0.035,RandomForest
0.5805,0.9502,0.04,RandomForest
0.5969,0.9502,0.045,RandomForest
0.6181,0.9502,0.05,RandomForest
0.6304,0.9502,0.055,RandomForest
0.6388,0.9502,0.06,RandomForest
0.6541,0.9502,0.07,RandomForest
0.6655,0.9502,0.075,RandomForest
0.6773,0.9502,0.08,RandomForest
0.6909,0.9453,0.085,RandomForest
0.6974,0.9403,0.09,RandomForest
0.7105,0.9403,0.095,RandomForest
0.7148,0.9353,0.1,RandomForest
0.7237,0.9254,0.105,RandomForest
0.7323,0.9254,0.11,RandomForest
0.7352,0.9254,0.12,RandomForest
0.75,0.9254,0.125,RandomForest
0.7654,0.9254,0.13,RandomForest
0.7676,0.9204,0.135,RandomForest
0.7741,0.9204,0.14,RandomForest
0.7806,0.9204,0.145,RandomForest
0.7872,0.9204,0.15,RandomForest
0.7863,0.9154,0.155,RandomForest
0.7965,0.9154,0.16,RandomForest
0.807,0.9154,0.165,RandomForest
0.8161,0.9055,0.17,RandomForest
0.8198,0.9055,0.175,RandomForest
0.8273,0.9055,0.18,RandomForest
0.8349,0.9055,0.185,RandomForest
0.8387,0.9055,0.19,RandomForest
0.8465,0.9055,0.195,RandomForest
0.8505,0.9055,0.2,RandomForest
0.8498,0.9005,0.205,RandomForest
0.8538,0.9005,0.21,RandomForest
0.8578,0.9005,0.215,RandomForest
0.8619,0.9005,0.225,RandomForest
0.866,0.9005,0.23,RandomForest
0.8744,0.9005,0.235,RandomForest
0.8829,0.9005,0.245,RandomForest
0.8873,0.9005,0.255,RandomForest
0.896,0.9005,0.26,RandomForest
0.9005,0.9005,0.265,RandomForest
0.9045,0.8955,0.27,RandomForest
0.9137,0.8955,0.28,RandomForest
0.9231,0.8955,0.29,RandomForest
0.9227,0.8905,0.3,RandomForest
0.9275,0.8905,0.305,RandomForest
0.9323,0.8905,0.31,RandomForest
0.9319,0.8856,0.325,RandomForest
0.9365,0.8806,0.33,RandomForest
0.9415,0.8806,0.34,RandomForest
0.9465,0.8806,0.365,RandomForest
0.9516,0.8806,0.38,RandomForest
0.9514,0.8756,0.415,RandomForest
0.9565,0.8756,0.425,RandomForest
0.9617,0.8756,0.43,RandomForest
0.967,0.8756,0.44,RandomForest
0.9724,0.8756,0.445,RandomForest
0.9778,0.8756,0.47,RandomForest
0.9832,0.8756,0.515,RandomForest
0.9888,0.8756,0.595,RandomForest
0.9944,0.8756,0.84,RandomForest
0.9943,0.8706,0.86,RandomForest
0.9943,0.8607,0.87,RandomForest
0.9942,0.8557,0.875,RandomForest
0.9942,0.8507,0.88,RandomForest
0.9942,0.8458,0.885,RandomForest
0.9941,0.8408,0.89,RandomForest
0.9941,0.8358,0.895,RandomForest
0.994,0.8308,0.905,RandomForest
0.994,0.8209,0.91,RandomForest
0.9939,0.8109,0.92,RandomForest
0.9938,0.791,0.925,RandomForest
0.9935,0.7562,0.93,RandomForest
0.9934,0.7463,0.94,RandomForest
0.9932,0.7264,0.945,RandomForest
0.9931,0.7114,0.95,RandomForest
0.993,0.7065,0.955,RandomForest
0.993,0.7015,0.96,RandomForest
0.9926,0.6667,0.965,RandomForest
0.9922,0.6368,0.97,RandomForest
0.9917,0.597,0.975,RandomForest
0.9908,0.5373,0.98,RandomForest
0.9892,0.4577,0.985,RandomForest
0.987,0.3781,0.99,RandomForest
1.0,0.2537,0.995,RandomForest
1.0,0.0846,1.0,RandomForest
0.1608,1.0,0.0001,GradientBoosting
0.1612,1.0,0.0001,GradientBoosting
0.1616,1.0,0.0001,GradientBoosting
0.162,1.0,0.0002,GradientBoosting
0.1624,1.0,0.0002,GradientBoosting
0.163,1.0,0.0003,GradientBoosting
0.1635,1.0,0.0003,GradientBoosting
0.1639,1.0,0.0003,GradientBoosting
0.1643,1.0,0.0003,GradientBoosting
0.1649,1.0,0.0004,GradientBoosting
0.1653,1.0,0.0004,GradientBoosting
0.1658,1.0,0.0004,GradientBoosting
0.1663,1.0,0.0004,GradientBoosting
0.1671,1.0,0.0004,GradientBoosting
0.1675,1.0,0.0004,GradientBoosting
0.1686,1.0,0.0004,GradientBoosting
0.169,1.0,0.0004,GradientBoosting
0.1696,1.0,0.0005,GradientBoosting
0.1701,1.0,0.0005,GradientBoosting
0.1705,1.0,0.0005,GradientBoosting
0.1712,1.0,0.0005,GradientBoosting
0.1716,1.0,0.0005,GradientBoosting
0.1721,1.0,0.0005,GradientBoosting
0.1727,1.0,0.0005,GradientBoosting
0.1731,1.0,0.0005,GradientBoosting
0.1739,1.0,0.0005,GradientBoosting
0.1752,1.0,0.0005,GradientBoosting
0.1771,1.0,0.0006,GradientBoosting
0.1771,0.995,0.0006,GradientBoosting
0.1776,0.995,0.0006,GradientBoosting
0.1783,0.995,0.0006,GradientBoosting
0.1789,0.995,0.0006,GradientBoosting
0.18,0.995,0.0006,GradientBoosting
0.1807,0.995,0.0006,GradientBoosting
0.1812,0.995,0.0006,GradientBoosting
0.1817,0.995,0.0007,GradientBoosting
0.1823,0.995,0.0007,GradientBoosting
0.1828,0.995,0.0007,GradientBoosting
